word	anger	fear	joy	love	sadness	surprise	thankfulness	disgust	guilt	totalClassify	correctIfAll	correctIfSingle	trust
#thankyou	0	0	0	0	0	2	0	0	1	3	1	1		0.3333333333333333
feeling	4	0	3	0	1	1	0	1	0	10	3	3		0.3
#quote	0	4	3	3	0	0	0	0	0	10	4	3		0.3
through	0	0	0	3	1	1	0	2	0	7	3	2		0.2857142857142857
tv	3	0	0	1	2	0	0	1	0	7	4	2		0.2857142857142857
team	0	0	0	0	0	3	1	1	2	7	3	2		0.2857142857142857
#fuck	0	1	1	5	0	0	0	0	0	7	5	2		0.2857142857142857
fuck	3	0	0	0	1	0	0	2	1	7	2	2		0.2857142857142857
hate	4	1	0	1	2	0	0	2	1	11	0	3		0.2727272727272727
is	4	2	0	2	1	1	1	0	0	11	6	3		0.2727272727272727
out	9	7	2	2	4	4	0	1	1	30	8	8		0.26666666666666666
line	3	0	0	0	0	0	0	1	0	4	0	1		0.25
family	0	0	0	3	1	1	2	1	0	8	3	2		0.25
back	1	0	0	8	3	1	4	6	1	24	11	6		0.25
need	5	3	0	1	1	0	0	3	3	16	6	4		0.25
wanted	2	0	0	0	1	0	0	1	0	4	0	1		0.25
already	2	0	0	0	1	1	0	0	0	4	1	1		0.25
sometimes	2	0	0	1	0	0	0	0	1	4	1	1		0.25
share	2	1	0	0	0	0	1	0	0	4	0	1		0.25
love	3	1	5	25	2	4	13	1	6	60	31	15		0.25
twitter	0	0	0	0	0	2	1	1	0	4	0	1		0.25
wedding	0	0	0	2	1	1	0	0	0	4	1	1		0.25
daughter	0	0	0	3	0	0	0	1	0	4	2	1		0.25
class	0	0	0	0	2	0	0	1	1	4	0	1		0.25
think	4	0	1	0	0	1	2	2	2	12	3	3		0.25
makes	0	1	3	0	0	0	0	0	0	4	0	1		0.25
lost	1	0	0	0	3	0	0	0	0	4	1	1		0.25
past	0	2	0	0	1	0	1	0	0	4	2	1		0.25
city	0	0	0	2	0	0	1	1	0	4	1	1		0.25
why	1	0	0	0	4	1	0	2	0	8	3	2		0.25
lot	2	0	0	0	0	0	1	1	0	4	2	1		0.25
anything	1	4	0	0	1	0	0	2	1	9	3	2		0.2222222222222222
dont	10	4	2	1	8	1	2	6	7	41	5	9		0.21951219512195122
:(	0	0	0	0	3	0	0	0	2	5	4	1		0.2
drink	1	0	0	0	0	0	0	3	1	5	1	1		0.2
overwhelming	1	0	0	3	0	0	1	0	0	5	0	1		0.2
nothing	0	0	0	1	0	0	3	1	0	5	3	1		0.2
sweet	0	0	2	1	0	1	1	0	0	5	0	1		0.2
shop	0	0	0	0	0	3	1	0	1	5	3	1		0.2
half	0	0	0	0	2	1	1	1	0	5	1	1		0.2
just	3	0	2	1	1	1	0	0	2	10	2	2		0.2
naruto	0	0	0	0	5	0	0	0	0	5	5	1		0.2
funny	2	0	0	1	0	0	1	0	1	5	1	1		0.2
message	0	2	0	0	0	1	0	1	1	5	0	1		0.2
fucking	2	0	0	1	0	1	0	1	0	5	2	1		0.2
do	2	1	0	0	1	0	0	1	0	5	0	1		0.2
#birthday	0	0	4	0	0	7	0	0	0	11	7	2		0.18181818181818182
self	3	1	1	1	1	1	2	0	1	11	3	2		0.18181818181818182
#halloween	2	5	0	0	1	3	0	0	0	11	4	2		0.18181818181818182
up	7	3	2	2	5	4	6	2	2	33	6	6		0.18181818181818182
work	3	2	1	1	0	1	0	1	2	11	5	2		0.18181818181818182
hurt	0	0	0	1	1	0	0	0	4	6	2	1		0.16666666666666666
needs	2	0	0	0	0	0	0	4	0	6	1	1		0.16666666666666666
death	1	3	0	0	1	0	0	1	0	6	3	1		0.16666666666666666
soon	0	0	1	0	1	4	0	0	0	6	3	1		0.16666666666666666
first	3	2	2	1	2	0	1	1	0	12	3	2		0.16666666666666666
#grateful	0	0	0	1	0	1	4	0	0	6	2	1		0.16666666666666666
welcome	0	0	1	1	0	4	0	0	0	6	3	1		0.16666666666666666
friday	3	1	1	0	0	2	0	0	0	7	2	1		0.14285714285714285
happy	0	1	7	0	0	13	6	0	1	28	15	4		0.14285714285714285
halloween	1	3	0	0	2	1	0	0	0	7	1	1		0.14285714285714285
heart	0	1	0	3	1	0	2	0	0	7	3	1		0.14285714285714285
care	0	0	1	1	4	0	0	0	1	7	3	1		0.14285714285714285
insta	2	2	9	1	1	0	0	0	0	15	9	2		0.13333333333333333
morning	0	1	3	1	0	0	2	0	1	8	1	1		0.125
video	2	4	1	1	0	0	0	0	0	8	2	1		0.125
old	0	1	0	1	4	1	1	1	0	9	5	1		0.1111111111111111
made	0	0	2	4	1	0	2	0	0	9	3	1		0.1111111111111111
online	1	0	5	0	0	0	0	3	0	9	9	1		0.1111111111111111
everyone	0	0	2	4	1	0	2	0	1	10	6	1		0.1
see	2	1	0	0	5	0	0	0	2	10	4	1		0.1
night	2	2	6	1	2	0	1	1	2	17	8	1		0.058823529411764705
my	4	0	6	1	3	3	1	0	1	19	5	1		0.05263157894736842
whatever	0	0	0	0	1	0	1	0	0	2	1	0		0.0
stick	1	0	0	0	0	1	0	1	0	3	0	0		0.0
freaking	1	0	0	0	0	0	0	1	0	2	0	0		0.0
seats	1	0	0	0	0	0	0	1	1	3	1	0		0.0
world	0	3	1	3	2	0	3	0	0	12	4	0		0.0
